step,learning_rate,discount_factor,exploration,exploration_decay,min_exploration,vision_size
0,0.1,0.8,0.01,0.95,0.01,3
state,value
000,76.88437153071128
00W,76.67217514853338
G00,113.22217723138787
W,-68.42565419718746
0G0,104.96982687231204
SW,-10.415087917928563
S00,-3.0294070432437215
0W,54.399877722297916
S0W,-10.573872876872766
G0G,0
SSW,-9.379375589320766
SS0,-33.97854507552902
SSS,-13.299799421245632
00R,5.873295265883108
0GW,106.37957648380039
00G,101.12943903867264
GW,110.48322014016648
G0W,107.99657653714176
R00,2.995376730352434
S0G,0
0R0,6.683207565556946
R0W,-2.001127161172677
0S0,21.31951331080805
RW,-2.0721595825011723
S0R,0
0SW,-0.8398167077205765
0RW,-0.1486030773271927
00S,19.689332223336727
SRW,0
GG0,4.06091695754738
SGG,0
0SS,7.025954558678235
S0S,-10.98648051360999
RG0,-1.4306201647180257
SR0,-9.469809512068643
SSR,-5.409516491347552
R0G,-1.7048905888110946
0GG,-0.05
R0S,0
SSG,0
0GR,0
SG0,-2.534440225234935
GSS,0
G0S,2.0
0GS,0
RSS,0
0RS,0
RS0,0
G0R,0
SGS,0
GS0,0
GR0,0
SGR,0
0SG,-0.40318859388217543
GRW,0
RSG,0
SRS,0
RGW,0
SRG,0
0RG,0
GGW,0
0SR,0
