step,learning_rate,discount_factor,exploration,exploration_decay,min_exploration
0,0.1,0.99,3.538527688343134e-44,0.999,0
state,value
00W,6.162975944435212
0000000W,7.839319809949519
0W,-3.4639210436287207
S0000000W,-12.61224976956533
W,-20.202020202020186
SS0000000W,-23.88371001245569
000000GW,13.643765809843106
000000000W,5.253021599214714
S000000GW,-7.102614117060029
SS000000GW,-20.676929217208663
0000000GW,12.886797934740631
SW,-39.173471925369554
000W,10.133635971192575
000000W,7.368210139278423
R00000W,-4.257501307002426
S000000W,-11.232346352051689
S00W,-15.273091608668745
0R00000W,-2.340888527316108
S000W,-13.754702025205736
00000W,7.363367558596189
00G000W,16.955251381342062
S00000W,-13.532830791963141
0000W,9.059201045498694
00G00W,16.571665745140727
SS00000W,-32.58293150207127
0R000000W,-2.040754750443615
000GW,16.174576651274208
00000000W,6.81549924775122
S000GW,-4.323789907637173
S00000000W,-10.465711350796008
SS000000W,-29.535063198773955
S000000000W,0
S0W,-18.167547621295746
SS0W,-33.270917832074915
000G000W,16.196916189036273
SS00W,-30.660018910368557
R0G00W,7.351557354670362
SR0G00W,-4.723807587153626
SSR0G00W,-5.718358094163179
0R0G00W,7.2575766234903725
000000R0W,1.2268479300815645
S000000R0W,-16.616462723032207
SS000000R0W,0
S00G00W,-3.6733234265410633
S0000W,-12.258316801660074
0G00W,18.307809776817695
0GW,18.450905485835317
G00W,20.723600600898877
SS0000W,-28.077736915839537
GW,19.57636353203634
G0000000W,19.836784786969716
0000000RW,0.6043161885268945
000000RW,0.9408655154637917
G000000W,18.30623582352691
0000G0W,14.905156562158853
S0000G0W,-5.6616969389765694
SR00000W,-21.421905668571434
0000G00W,14.956077236597718
000G00000W,17.39568290607223
00G00000W,17.354535634278424
G000W,19.564276135929433
G00000W,18.345397654081015
0000G0RW,14.346098620249801
000G0RW,15.297975702045324
0000R0000W,1.3345182495019783
S0000000GW,-5.250355805233289
000G0W,15.385104865902019
00G0W,16.187185149114615
S00G0W,-3.1221917338239944
0R0000000W,-2.603701351651668
0G00000W,17.388511168004143
0000000R0W,1.3002084179425546
S0000000R0W,0
000G0000W,17.04829868770344
00G0000W,17.401588137933192
0G0000W,18.439069175596142
G0000W,20.78989177787584
SG0000W,1.010584209554656
00000G0W,14.474625488022062
0G000W,18.164169423491582
00R0W,-2.2116511094292255
SS00000000W,0
00000000RW,1.7958138666632346
000G00W,15.513237163038273
R00W,-2.878956517377124
SR00W,-18.685981899996555
00000G00W,14.446097945611296
S00000G00W,-4.889825203033967
SS00000G00W,0
000R00W,1.6362006522128731
00G000000W,17.825181833660107
0000GW,15.033759219724569
00GW,17.311913954824632
R000W,-2.7948616165677875
SG00000W,0.22564381646572132
00R00000W,0.3139129748238435
